Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,D0001,4,0,R3,R,20,C01
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,H0002,0,0,R2,R,0,D03
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,H0003,2,0,F,N,10,C06
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,C0004,3,0,R3,N,20,E08
20160101000002,D0001,5,0,F,N,45,C02
20160101000002,H0002,1,0,F,N,5,D02
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,B0005,1,0,L2,L,5,E08
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,L0006,3,0,F,N,15,D05
20160101000002,H0003,0,3,F,N,0,C03
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,F0007,3,0,R3,R,15,A01
20160101000002,C0004,0,2,F,N,10,E05
20160101000004,D0001,1,0,L2,L,50,C03
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,T0008,1,0,F,N,1,A01
20160101000004,H0002,2,0,L1,L,15,D10
20160101000002,B0005,1,0,L2,L,10,E03
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,D0009,1,0,F,N,5,B08
20160101000002,L0006,0,1,F,N,5,D01
20160101000004,H0003,3,0,F,N,15,C03
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000000,K0010,0,1,F,N,0,E05
20160101000002,F0007,3,0,F,N,30,A09
20160101000004,C0004,4,0,R3,R,40,E03
20160101000006,D0001,3,0,F,N,65,C04
20160101000002,T0008,0,1,F,N,0,A07
20160101000006,H0002,4,0,F,N,10,D07
20160101000004,B0005,1,0,F,N,15,E05
20160101000002,D0009,3,0,R1,R,20,B02
20160101000004,L0006,5,0,F,N,30,D05
20160101000006,H0003,1,0,F,N,20,C08
20160101000002,K0010,2,0,F,N,10,E05
20160101000004,F0007,3,0,F,N,45,A01
20160101000006,C0004,3,0,L1,L,60,E09
20160101000008,D0001,0,2,F,N,45,C06
20160101000004,T0008,0,1,F,N,0,A10
20160101000008,H0002,3,0,L1,L,25,D08
20160101000006,B0005,1,0,F,N,6,E10
20160101000004,D0009,1,0,F,N,25,B04
20160101000006,L0006,1,0,L2,L,10,D08
20160101000008,H0003,0,0,F,N,20,C07
20160101000004,K0010,1,0,F,N,15,E08
20160101000006,F0007,3,0,F,N,60,A05
20160101000008,C0004,4,0,F,R,27,E02
20160101000010,D0001,2,0,F,N,55,C10
20160101000006,T0008,3,0,L1,L,15,A06
20160101000010,H0002,1,0,F,N,30,D07
20160101000008,B0005,1,0,F,N,11,E01
20160101000006,D0009,3,0,R3,R,12,B10
20160101000008,L0006,3,0,R1,R,25,D07
20160101000010,H0003,3,0,R1,R,35,C06
20160101000006,K0010,3,0,L1,L,30,E09
20160101000008,F0007,0,2,F,N,40,A08
20160101000010,C0004,0,1,F,L,22,E08
20160101000012,D0001,3,0,F,N,70,C03
20160101000008,T0008,4,0,F,N,35,A06
20160101000012,H0002,1,0,F,N,35,D02
20160101000010,B0005,1,0,F,N,16,E05
20160101000008,D0009,1,0,F,N,17,B07
20160101000010,L0006,1,0,F,N,30,D10
20160101000012,H0003,3,0,L1,L,50,C02
20160101000008,K0010,0,1,F,N,20,E06
20160101000010,F0007,1,0,F,N,45,A05
20160101000012,C0004,1,0,R2,N,27,E04
20160101000014,D0001,0,1,F,N,60,C09
20160101000010,T0008,3,0,F,N,50,A05
20160101000014,H0002,1,0,F,N,40,D03
20160101000012,B0005,0,1,F,N,0,E07
20160101000010,D0009,1,0,L3,L,22,B08
20160101000012,L0006,0,1,F,N,20,D07
20160101000014,H0003,4,0,R1,R,70,C01
20160101000010,K0010,0,1,F,N,10,E03
20160101000014,C0004,4,0,R3,L,57,E09
20160101000016,D0001,3,0,L3,L,75,C04
20160101000012,F0007,3,0,F,N,18,A02
20160101000012,T0008,1,0,F,N,55,A07
20160101000016,H0002,3,0,F,N,55,D05
20160101000014,B0005,3,0,R1,R,15,E06
20160101000012,D0009,3,0,F,N,37,B03
20160101000014,L0006,0,2,F,N,0,D09
20160101000016,H0003,0,1,F,N,60,C04
20160101000012,K0010,1,0,F,N,15,E08
20160101000016,C0004,0,0,L1,R,57,E05
20160101000018,D0001,3,0,F,N,90,C10
20160101000014,F0007,0,0,F,N,18,A02
20160101000014,T0008,3,0,F,N,70,A07
20160101000018,H0002,3,0,R1,R,70,D03
20160101000016,B0005,1,0,R3,R,20,E01
20160101000014,D0009,1,0,F,N,42,B05
20160101000016,L0006,3,0,R1,R,15,D06
20160101000018,H0003,1,0,F,N,65,C07
20160101000014,K0010,0,0,F,N,15,E05
20160101000018,C0004,3,0,F,N,77,E06
20160101000020,D0001,1,0,F,N,95,C02
20160101000016,F0007,3,0,F,N,9,A08
20160101000016,T0008,0,1,F,N,60,A04
20160101000020,H0002,0,0,F,N,70,D09
20160101000018,B0005,1,0,L1,L,25,E03
20160101000016,D0009,0,1,F,N,2,B01
20160101000018,L0006,0,1,F,N,5,D01
20160101000020,H0003,1,0,R1,R,70,C03
20160101000016,K0010,0,0,F,N,4,E08
20160101000020,C0004,3,0,F,L,97,E03
20160101000022,D0001,1,0,F,N,100,C10
20160101000018,F0007,0,1,F,N,0,A02
20160101000018,T0008,0,2,L3,L,40,A01
20160101000022,H0002,1,0,F,N,75,D05
20160101000020,B0005,1,0,F,N,30,E07
20160101000018,D0009,2,0,R3,R,12,B02
20160101000020,L0006,0,0,L3,L,5,D07
20160101000022,H0003,1,0,F,N,75,C10
20160101000018,K0010,0,3,F,N,0,E03
20160101000022,C0004,3,0,R1,L,117,E07
20160101000024,D0001,1,0,F,N,105,C02
20160101000020,T0008,0,2,F,N,20,A08
20160101000020,F0007,0,1,R2,R,0,A07
20160101000024,H0002,0,1,F,N,65,D03
20160101000022,B0005,0,2,L3,L,10,E07
20160101000020,D0009,3,0,F,N,27,B05
20160101000022,L0006,0,0,F,N,5,D03
20160101000024,H0003,1,0,F,N,24,C07
20160101000020,K0010,3,0,F,N,15,E09
20160101000024,C0004,4,0,F,N,147,E03
20160101000026,D0001,1,0,R2,R,110,C07
20160101000022,F0007,1,0,R3,R,5,A08
20160101000022,T0008,0,1,F,N,10,A02
20160101000026,H0002,3,0,F,N,80,D07
20160101000024,B0005,1,0,F,N,4,E09
20160101000022,D0009,1,0,F,N,32,B06
20160101000024,L0006,0,0,F,N,5,D07
20160101000026,H0003,0,1,F,N,14,C05
20160101000022,K0010,1,0,R3,R,20,E09
20160101000026,C0004,5,0,L2,L,187,E01
20160101000028,D0001,3,0,F,N,125,C08
20160101000024,F0007,3,0,F,N,20,A05
20160101000024,T0008,0,1,F,N,0,A06
20160101000028,H0002,0,1,R3,R,70,D10
20160101000026,B0005,3,0,F,N,19,E06
20160101000024,D0009,4,0,F,N,52,B08
20160101000026,L0006,0,1,F,N,0,D05
20160101000028,H0003,3,0,F,N,29,C10
20160101000024,K0010,1,0,F,N,25,E04
20160101000028,C0004,1,0,F,R,192,E04
20160101000030,D0001,0,1,F,N,115,C01
20160101000026,F0007,0,1,F,N,10,A02
20160101000026,T0008,0,2,L2,L,0,A03
20160101000030,H0002,2,0,L3,L,80,D10
20160101000028,B0005,1,0,R1,R,24,E04
20160101000026,D0009,0,1,F,N,42,B01
20160101000028,L0006,5,0,L2,L,25,D09
